l,m,Clm,Slm,sigmaClm,sigmaSlm
8,7,6.72569751771483e-08,7.48686063738231e-08,4.98296953e-12,4.986624872e-12
8,8,-1.24022771917136e-07,1.20551889384997e-07,4.498624439e-12,4.501340997e-12
9,0,2.801807532163e-08,0.0,1.023487582e-12,0.0
9,1,1.42151377236084e-07,2.1400466507751e-08,1.018511829e-12,1.089176581e-12
9,2,2.14144381199757e-08,-3.16984195352417e-08,1.208927719e-12,1.141907553e-12
9,3,-1.60612356882835e-07,-7.42658786809216e-08,1.470083017e-12,1.45704705e-12
9,4,-9.365295565925361e-09,1.99026740710063e-08,2.110483299e-12,2.073741397e-12
9,5,-1.63134050605937e-08,-5.40394840426217e-08,2.551829532e-12,2.558834844e-12
9,6,6.27879491161446e-08,2.22962377434615e-07,3.185143905e-12,3.168799261e-12
9,7,-1.17983924385618e-07,-9.69222126840068e-08,4.294900507e-12,4.301792728e-12
9,8,1.88136188986452e-07,-3.0053897481174403e-09,5.026516563e-12,5.019526183e-12
9,9,-4.75568433357652e-08,9.68804214389955e-08,4.457949868e-12,4.455360399e-12
10,0,5.33304381729473e-08,0.0,8.818400481e-13,0.0
10,1,8.37623112620412e-08,-1.31092332261065e-07,8.725265082e-13,9.369288876e-13
10,2,-9.39894766092874e-08,-5.12746772537482e-08,1.02086144e-12,9.629255322e-13
10,3,-7.00709997317429e-09,-1.54139929404373e-07,1.211784695e-12,1.201381484e-12
10,4,-8.4471538807463e-08,-7.90255527979406e-08,1.715837141e-12,1.685872506e-12
10,5,-4.92894049964295e-08,-5.06137282060864e-08,2.138050044e-12,2.141170996e-12
10,6,-3.75849022022301e-08,-7.97688616388143e-08,2.648268739e-12,2.635493771e-12
10,7,8.26209286523474e-09,-3.04903703914366e-09,3.161812047e-12,3.169439904e-12
10,8,4.05981624580941e-08,-9.17138622482163e-08,4.338699172e-12,4.329214415e-12
10,9,1.2537663160434e-07,-3.7943658484127e-08,5.088298058e-12,5.089339716e-12
10,10,1.00435991936118e-07,-2.38596204211893e-08,4.485425587e-12,4.492976952e-12
11,0,-5.07683787085927e-08,0.0,7.585590986e-13,0.0
11,1,1.56127678638183e-08,-2.71235374123689e-08,7.452185027e-13,8.036122515e-13
11,2,2.01135250154855e-08,-9.9000395490559e-08,8.606424948e-13,8.092076047e-13
11,3,-3.05773531606647e-08,-1.48835345047152e-07,9.938761038e-13,9.860988538e-13
11,4,-3.79499015091407e-08,-6.37669897493018e-08,1.408298701e-12,1.384873073e-12
11,5,3.7419240705058e-08,4.95908160271967e-08,1.72306463e-12,1.724028181e-12
11,6,-1.5642912869477502e-09,3.42735099884706e-08,2.239526081e-12,2.226699156e-12
11,7,4.65461661449953e-09,-8.98252194924903e-08,2.629042863e-12,2.633757471e-12
11,8,-6.301740498618971e-09,2.45446551115189e-08,3.110698398e-12,3.104168068e-12
11,9,-3.10727993686101e-08,4.20682585407293e-08,4.301399768e-12,4.302632213e-12
11,10,-5.22444922089646e-08,-1.8421638316373e-08,5.04372353e-12,5.047182552e-12
11,11,4.62340571475799e-08,-6.967112515237e-08,4.43520781e-12,4.431129672e-12
12,0,3.64361922614572e-08,0.0,6.828731378e-13,0.0
12,1,-5.35856270449833e-08,-4.31656037232084e-08,6.678206552e-13,7.229860286e-13
12,2,1.4266593682829e-08,3.10937162901519e-08,7.647850523e-13,7.182354948e-13
12,3,3.96211271409354e-08,2.50622628960907e-08,8.652130893e-13,8.587184231e-13
12,4,-6.77284618097416e-08,3.83823469584472e-09,1.200511279e-12,1.181307883e-12
12,5,3.08775410911475e-08,7.59066416791107e-09,1.493653959e-12,1.494418734e-12
12,6,3.13421100991039e-09,3.89801868153392e-08,1.899052444e-12,1.8880976e-12
12,7,-1.905179574831e-08,3.57268620672699e-08,2.310224916e-12,2.312853972e-12
12,8,-2.58866871220994e-08,1.69362538600173e-08,2.742630216e-12,2.73864261e-12
12,9,4.19147664170774e-08,2.49625636010847e-08,3.179724783e-12,3.179019714e-12
12,10,-6.199550798807741e-09,3.09398171578482e-08,4.406917668e-12,4.416716422e-12
12,11,1.13644952089825e-08,-6.38551119140755e-09,5.202764066e-12,5.203387539e-12
12,12,-2.42377235648074e-09,-1.10993698692881e-08,4.49282047e-12,4.49334443e-12
13,0,4.17293021685027e-08,0.0,6.278637116e-13,0.0
13,1,-5.1442100920612e-08,3.86910482386637e-08,6.10681017e-13,6.626857004e-13
13,2,5.53118515702855e-08,-6.26943474947239e-08,6.956104508e-13,6.526103864e-13
13,3,-2.15570388049647e-08,9.76866679032941e-08,7.713251235e-13,7.657484734e-13
13,4,-3.6512790276442805e-09,-1.17512717960252e-08,1.05344691e-12,1.037029232e-12
13,5,5.83702330251927e-08,6.72244622794413e-08,1.288280862e-12,1.289419347e-12
13,6,-3.50445484464565e-08,-6.2735685955619405e-09,1.706223152e-12,1.696627379e-12
13,7,3.0141246595100303e-09,-7.3206865996197004e-09,1.981246448e-12,1.983038343e-12
13,8,-1.00532117993105e-08,-9.8578703264598e-09,2.445350764e-12,2.441845776e-12
13,9,2.47702773255876e-08,4.58875609452034e-08,2.869783677e-12,2.868213259e-12
